Template,Fund_Code,Trade_Date,Total_Amount,Number_of_Units,Filename
Receipt,K-VIETNAM,2023-01-17,500,42.7383,confirmation_note_8882301170002031.pdf
Receipt,SCBS&P500,2022-12-19,500,24.3744,confirmation_note_8882212190000178.pdf
Receipt,K-USXNDQ-A(D),2022-12-19,"1,000.00",60.3503,confirmation_note_8882212190000204.pdf
Receipt,SCBSET50,2022-12-19,"1,000.00",49.9662,confirmation_note_8882212190000182.pdf
Receipt,K-SET50,2022-12-19,500,14.6181,confirmation_note_8882212190000174.pdf
Receipt,K-VIETNAM,2022-12-19,500,43.0151,confirmation_note_8882212190000270.pdf
Receipt,SCBS&P500,2022-11-17,500,23.2156,confirmation_note_8882211170000185.pdf
Receipt,K-USXNDQ-A(D),2022-11-17,"1,000.00",56.1356,confirmation_note_8882211170000204.pdf
Receipt,K-SET50,2022-11-17,500,14.5929,confirmation_note_8882211170000182.pdf
Receipt,K-VIETNAM,2022-11-17,500,47.1413,confirmation_note_8882211170000260.pdf
Receipt,SCBSET50,2022-11-17,"1,000.00",49.8815,confirmation_note_8882211170000188.pdf
Receipt,PCASH,2022-10-25,100,7.947,confirmation_note_8882210250004097.pdf
Receipt,K-USXNDQ-A(D),2022-10-17,"1,000.00",58.7554,confirmation_note_8882210170003293.pdf
Receipt,SCBS&P500,2022-10-17,500,24.8722,confirmation_note_8882210170003207.pdf
Receipt,K-VIETNAM,2022-10-17,500,41.8609,confirmation_note_8882210170003386.pdf
Receipt,K-SET50,2022-10-17,500,15.1763,confirmation_note_8882210170003203.pdf
Receipt,SCBSET50,2022-10-17,"1,000.00",51.8723,confirmation_note_8882210170003211.pdf
Receipt,K-USXNDQ-A(D),2022-09-19,"1,000.00",54.0254,confirmation_note_8882209190000307.pdf
Receipt,SCBS&P500,2022-09-19,500,23.3361,confirmation_note_8882209190000239.pdf
Receipt,K-SET50,2022-09-19,500,14.6284,confirmation_note_8882209190000235.pdf
Receipt,K-VIETNAM,2022-09-19,500,36.0324,confirmation_note_8882209190000342.pdf
Receipt,SCBSET50,2022-09-19,"1,000.00",50.0015,confirmation_note_8882209190000243.pdf
Receipt,LHTPROP,2022-08-23,"1,000.00",110.7358,confirmation_note_8882208220003996.pdf
Manual,K-USXNDQ-A(D),2022-08-17,500,23.566,
Manual,SCBS&P500,2022-08-17,500,21.25,
Receipt,SCBSET50,2022-08-17,500,24.8538,confirmation_note_8882208170000250.pdf
Receipt,K-SET50,2022-08-17,500,14.5419,confirmation_note_8882208170000243.pdf
Receipt,SCBS&P500,2022-08-16,"1,000.00",42.1663,confirmation_note_8882208150007329.pdf
Receipt,K-USXNDQ-A(D),2022-08-16,"1,000.00",46.6028,confirmation_note_8882208150007328.pdf
Receipt,K-VIETNAM,2022-08-16,500,35.5811,confirmation_note_8882208150007327.pdf
Receipt,PCASH,2022-07-25,100,7.9524,confirmation_note_8882207250003924.pdf
Receipt,K-USXNDQ-A(D),2022-07-18,500,26.7476,confirmation_note_8882207180002261.pdf
Receipt,K-USXNDQ-A(D),2022-07-18,"1,000.00",53.4953,confirmation_note_8882207170000468.pdf
Receipt,SCBS&P500,2022-07-18,"1,000.00",47.5264,confirmation_note_8882207170000467.pdf
Receipt,SCBS&P500,2022-07-18,500,23.7632,confirmation_note_8882207180000724.pdf
Receipt,SCBSET50,2022-07-18,"1,000.00",52.0795,confirmation_note_8882207170000469.pdf
Receipt,SCBSET50,2022-07-18,500,26.0397,confirmation_note_8882207180000728.pdf
Receipt,K-SET50,2022-07-18,500,15.2341,confirmation_note_8882207180000720.pdf
Receipt,K-SET50,2022-07-18,"1,000.00",30.4682,confirmation_note_8882207170000470.pdf
Receipt,K-USXNDQ-A(D),2022-06-22,500,27.7016,confirmation_note_8882206210004346.pdf
Receipt,SCBS&P500,2022-06-17,"1,000.00",49.797,confirmation_note_8882206170002561.pdf
Receipt,K-SET50,2022-06-17,"2,000.00",61.0373,confirmation_note_8882206170002558.pdf
Receipt,SCBSET50,2022-06-17,"2,000.00",104.3607,confirmation_note_8882206170002545.pdf
